ticket_id,ticket_text,category,issue_type,priority,assigned_team,sentiment,resolution
INC1037,My mailbox is full and I cannot receive messages.,Email,Mailbox Issue,MEDIUM,Email Support,negative,Review mailbox quota and archive unnecessary messages.
INC1038,I need access to the project email group.,Email,Email Access,LOW,Email Support,neutral,Verify approval and add the user to the authorized group.
INC1039,The company laptop battery drains very quickly.,Hardware,Laptop Failure,MEDIUM,Desktop Support,negative,Check battery health and power-management settings.
INC1040,A critical business application is down for the whole team.,Software,Application Outage,CRITICAL,Application Support,negative,Escalate immediately and investigate service availability.
INC1041,I cannot connect to Wi-Fi after changing my password.,Network,Wi-Fi Issue,MEDIUM,Network Support,negative,Reconnect the wireless profile and verify credentials.
INC1042,My Outlook calendar is not updating.,Email,Email Sync,MEDIUM,Email Support,negative,Check account synchronization and client connectivity.
INC1043,Please give me access to the development repository.,Account & Access,Access Request,LOW,Identity & Access,neutral,Verify approval and provision repository access.
INC1044,The laptop fan is running constantly and everything is slow.,Hardware,Laptop Failure,MEDIUM,Desktop Support,negative,"Check thermal conditions, CPU usage and hardware health."
INC1045,A security alert says a suspicious process is running.,Security,Malware,CRITICAL,Security Team,negative,Isolate the endpoint and investigate the suspicious process.
INC1046,I cannot print to the finance department printer.,Hardware,Printer Issue,MEDIUM,Desktop Support,negative,"Check printer queue, permissions and connectivity."
INC1047,The browser crashes whenever I open the internal dashboard.,Software,Application Crash,MEDIUM,Application Support,negative,"Check browser extensions, cache and compatibility."
INC1048,VPN authentication fails even though my password is correct.,Network,VPN Issue,HIGH,Network Support,negative,"Verify VPN authentication, MFA and client configuration."
INC1049,I received a message requesting confidential company information.,Security,Phishing,CRITICAL,Security Team,negative,Report and investigate the message for phishing indicators.
INC1050,My desktop has no network connection.,Network,Network Connectivity,HIGH,Network Support,negative,"Check Ethernet connection, adapter and DHCP."
INC1051,Laptop became slow after Windows update and applications take longer to open.,Software,System Performance,HIGH,Desktop Support,negative,Review recent updates and system resource utilization.
INC1052,Suspicious email asks me to click a link and enter my password.,Security,Phishing,CRITICAL,Security Team,negative,Report the message and investigate phishing indicators.
INC1053,Cannot connect to the office Wi-Fi in the conference room.,Network,Wi-Fi Issue,HIGH,Network Support,negative,Verify wireless credentials and access-point availability.
INC1054,Outlook does not receive new messages on my computer.,Email,Email Sync,HIGH,Email Support,negative,Check mailbox status and synchronization.
INC1055,My account is locked and I cannot sign in.,Account & Access,Login Failure,HIGH,Identity & Access,negative,Unlock the account and verify authentication.
